phase,model,start,step,loss,train_acc,cv_acc,l2,theta_std,theta_absmax,elapsed,is_best
spsa,lightweight,11,2,0.57008660,0.72106481,0.73437500,0.005,0.37630863,1.06071927,307.163,0
spsa,lightweight,11,3,0.56839163,0.72106481,0.73437500,0.005,0.37800239,1.05822888,314.883,0
candidate,lightweight,12,0,0.58514956,0.69097222,0.69140625,0.005,0.45437936,1.01602864,321.632,0
spsa,lightweight,12,1,0.58423280,0.69328704,0.68750000,0.005,0.45302562,1.01130390,333.667,0
spsa,lightweight,12,2,0.58147346,0.69907407,0.69140625,0.005,0.45161344,1.03519356,344.736,0
spsa,lightweight,12,3,0.58054060,0.70138889,0.69531250,0.005,0.45090272,1.04388510,353.660,0
candidate,lightweight,13,0,0.53768275,0.73263889,0.71484375,0.005,0.49755241,1.05092277,359.783,0
spsa,lightweight,13,1,0.53674180,0.73263889,0.71484375,0.005,0.49685315,1.04498175,367.593,0
spsa,lightweight,13,2,0.53606559,0.74074074,0.71093750,0.005,0.49650873,1.06354103,375.622,0
spsa,lightweight,13,3,0.53605934,0.73726852,0.71093750,0.005,0.49684093,1.06288601,383.803,0
candidate,lightweight,14,0,0.55432845,0.73379630,0.73046875,0.005,0.63939036,1.69308255,389.230,0
spsa,lightweight,14,1,0.57868679,0.72453704,0.73046875,0.02,0.64035049,1.70757393,396.590,0
spsa,lightweight,14,2,0.56293141,0.72569444,0.73046875,0.01,0.63735285,1.69325298,404.193,0
spsa,lightweight,14,3,0.55884859,0.73495370,0.73437500,0.01,0.63622011,1.71325710,412.189,0
candidate,lightweight,15,0,0.53054372,0.74537037,0.71875000,0.005,0.71111282,1.60873381,418.206,0
spsa,lightweight,15,1,0.53016162,0.74421296,0.71484375,0.005,0.71018479,1.61613006,426.453,0
spsa,lightweight,15,2,0.52978495,0.74305556,0.72656250,0.005,0.70906427,1.61069917,434.342,0
spsa,lightweight,15,3,0.54926602,0.74305556,0.72265625,0.02,0.70686304,1.61525341,442.011,0
candidate,lightweight,16,0,0.58446256,0.70138889,0.71484375,0.02,0.54481409,1.15174674,447.205,0
spsa,lightweight,16,1,0.57249983,0.70717593,0.71875000,0.01,0.54276976,1.14379147,455.230,0
spsa,lightweight,16,2,0.58151044,0.70601852,0.71875000,0.02,0.54066715,1.16119117,463.177,0
spsa,lightweight,16,3,0.58139330,0.70949074,0.72656250,0.02,0.54037850,1.15584505,471.031,0
candidate,lightweight,17,0,0.54869113,0.73032407,0.70703125,0.01,0.48985547,1.02725860,476.561,0
spsa,lightweight,17,1,0.53769061,0.73032407,0.70703125,0.005,0.48716657,1.03857089,484.545,0
spsa,lightweight,17,2,0.53696508,0.72800926,0.71093750,0.005,0.48407508,1.06544459,492.604,0
spsa,lightweight,17,3,0.53658116,0.73148148,0.71875000,0.005,0.48242711,1.07775729,500.584,0
candidate,lightweight,18,0,0.57592658,0.70486111,0.70312500,0.005,0.59342354,1.25223055,505.896,0
spsa,lightweight,18,1,0.57530165,0.70601852,0.69921875,0.005,0.58987299,1.24119563,513.658,0
spsa,lightweight,18,2,0.57170306,0.70833333,0.69140625,0.005,0.58751974,1.24805554,521.767,0
spsa,lightweight,18,3,0.58397817,0.70601852,0.69531250,0.01,0.59340150,1.27002250,529.819,0
candidate,lightweight,19,0,0.59009158,0.67361111,0.66796875,0.02,0.53264361,1.55868317,535.400,0
spsa,lightweight,19,1,0.57749211,0.67476852,0.67578125,0.01,0.53286389,1.56546802,543.623,0
spsa,lightweight,19,2,0.56820744,0.68865741,0.67578125,0.005,0.53670411,1.59658349,552.404,0
spsa,lightweight,19,3,0.57292833,0.67939815,0.69140625,0.01,0.53896207,1.62153841,560.796,0
candidate,lightweight,20,0,0.58360923,0.71875000,0.70703125,0.01,0.46039070,1.10063281,566.092,0
spsa,lightweight,20,1,0.56656754,0.72800926,0.71484375,0.005,0.46260724,1.08596984,573.788,0
spsa,lightweight,20,2,0.56725423,0.72800926,0.71484375,0.005,0.46030986,1.08236524,581.704,0
spsa,lightweight,20,3,0.56529011,0.72453704,0.71484375,0.005,0.46434831,1.09844567,589.680,0
candidate,lightweight,21,0,0.54465487,0.73148148,0.72656250,0.01,0.45060583,0.78503444,595.304,0
spsa,lightweight,21,1,0.53418427,0.73495370,0.72265625,0.005,0.45335278,0.79518366,603.394,0
spsa,lightweight,21,2,0.55769796,0.72916667,0.72265625,0.02,0.46058938,0.82722416,610.791,0
spsa,lightweight,21,3,0.53251762,0.73726852,0.73437500,0.005,0.46238329,0.83736848,618.529,0
candidate,lightweight,22,0,0.53797901,0.74421296,0.71093750,0.005,0.62036916,1.20076770,624.516,0
spsa,lightweight,22,1,0.53650048,0.74074074,0.70703125,0.005,0.62097626,1.18011709,632.971,0
spsa,lightweight,22,2,0.53726983,0.74074074,0.71093750,0.005,0.61965579,1.16163802,641.086,0
spsa,lightweight,22,3,0.53665414,0.74074074,0.70703125,0.005,0.61667357,1.14601089,649.732,0
candidate,lightweight,23,0,0.50784864,0.76273148,0.73437500,0.005,0.62060567,1.18554220,655.664,0
spsa,lightweight,23,1,0.50782215,0.76388889,0.73828125,0.005,0.62278562,1.17515759,663.727,0
spsa,lightweight,23,2,0.51008234,0.76620370,0.73437500,0.005,0.62256749,1.16688949,672.111,0
spsa,lightweight,23,3,0.50758568,0.76736111,0.73437500,0.005,0.62386737,1.19922137,680.207,0
candidate,lightweight,24,0,0.54960408,0.74768519,0.71875000,0.005,0.46898623,1.27541485,686.242,0
spsa,lightweight,24,1,0.55523556,0.73148148,0.70703125,0.005,0.45590894,1.22097053,695.275,0
spsa,lightweight,24,2,0.55452457,0.73263889,0.71093750,0.005,0.45800415,1.23010128,704.436,0
spsa,lightweight,24,3,0.55229234,0.73611111,0.71093750,0.005,0.46313854,1.24491911,713.430,0
candidate,lightweight,25,0,0.57297753,0.70833333,0.69921875,0.005,0.51211743,0.97379037,718.964,0
spsa,lightweight,25,1,0.57090321,0.70833333,0.70703125,0.005,0.51510585,0.98622479,727.136,0
spsa,lightweight,25,2,0.57149945,0.70717593,0.70312500,0.005,0.51661720,0.99124048,734.950,0
spsa,lightweight,25,3,0.56538083,0.71527778,0.71484375,0.005,0.52005818,0.98312728,743.285,0
candidate,lightweight,26,0,0.60472620,0.67824074,0.66406250,0.005,0.51546273,1.25211156,749.037,0
spsa,lightweight,26,1,0.60325225,0.68055556,0.66796875,0.005,0.51779940,1.25158183,757.617,0
spsa,lightweight,26,2,0.60140255,0.68518519,0.67187500,0.005,0.51841783,1.25927405,766.392,0
spsa,lightweight,26,3,0.59571864,0.68865741,0.67187500,0.005,0.51857749,1.27326779,774.449,0
candidate,lightweight,27,0,0.56236760,0.74768519,0.71093750,0.01,0.65586542,1.66033738,779.915,0
spsa,lightweight,27,1,0.56227457,0.74768519,0.70703125,0.01,0.65848530,1.67243774,787.590,0
spsa,lightweight,27,2,0.55941305,0.74884259,0.71093750,0.01,0.66115659,1.64655009,795.527,0
spsa,lightweight,27,3,0.54034226,0.74768519,0.71093750,0.005,0.65530977,1.61550039,803.233,0
candidate,lightweight,28,0,0.55150158,0.72453704,0.69531250,0.01,0.50670586,1.18913370,808.837,0
spsa,lightweight,28,1,0.55139959,0.72916667,0.70703125,0.01,0.50598099,1.16472388,816.468,0
spsa,lightweight,28,2,0.56496325,0.73263889,0.70703125,0.02,0.49682619,1.12001642,823.968,0
spsa,lightweight,28,3,0.54030606,0.73148148,0.70703125,0.005,0.49459538,1.11112677,832.135,0
candidate,lightweight,29,0,0.52896388,0.75115741,0.71484375,0.01,0.53837974,1.28738957,837.374,0
spsa,lightweight,29,1,0.52124962,0.74537037,0.73046875,0.005,0.54137949,1.34959120,845.071,0
spsa,lightweight,29,2,0.52160126,0.74768519,0.73437500,0.005,0.54184685,1.37807647,852.977,0
spsa,lightweight,29,3,0.52179276,0.74884259,0.73046875,0.005,0.54393355,1.38216022,860.618,0
candidate,lightweight,30,0,0.56953900,0.72685185,0.68359375,0.01,0.52635933,1.64038662,866.120,0
spsa,lightweight,30,1,0.56704494,0.73032407,0.68750000,0.01,0.52195580,1.63764065,874.182,0
spsa,lightweight,30,2,0.55587216,0.72916667,0.68750000,0.005,0.52201068,1.63776431,882.622,0
spsa,lightweight,30,3,0.55452029,0.73379630,0.68750000,0.005,0.52353191,1.64786692,890.740,0
candidate,lightweight,31,0,0.56284278,0.71180556,0.69921875,0.005,0.50044170,1.29933041,896.636,0
spsa,lightweight,31,1,0.56216317,0.71527778,0.70312500,0.005,0.50017656,1.29594694,905.248,0
spsa,lightweight,31,2,0.56184810,0.71527778,0.69921875,0.005,0.49953642,1.28933201,913.460,0
spsa,lightweight,31,3,0.55942384,0.71643519,0.70703125,0.005,0.49954780,1.30674801,920.634,0
candidate,lightweight,32,0,0.53685168,0.75462963,0.71093750,0.005,0.46926357,0.97685485,926.546,0
spsa,lightweight,32,1,0.53404395,0.76041667,0.71484375,0.005,0.47337064,0.97105743,934.560,0
spsa,lightweight,32,2,0.53275682,0.76157407,0.71875000,0.005,0.47672962,0.96130849,942.382,0
spsa,lightweight,32,3,0.53227850,0.75810185,0.71875000,0.005,0.47688515,0.96210965,950.405,0
candidate,lightweight,33,0,0.54138186,0.73032407,0.72265625,0.005,0.51241984,1.13649145,955.820,0
spsa,lightweight,33,1,0.53956835,0.73958333,0.73046875,0.005,0.51732062,1.16932998,963.550,0
spsa,lightweight,33,2,0.53923444,0.73958333,0.73828125,0.005,0.52735679,1.17616435,971.762,0
spsa,lightweight,33,3,0.53959145,0.73958333,0.73828125,0.005,0.52593006,1.17305546,980.352,0
candidate,lightweight,34,0,0.53831375,0.74652778,0.75781250,0.005,0.47812272,1.01025768,985.683,1
spsa,lightweight,34,1,0.53881930,0.73726852,0.75781250,0.005,0.47998174,1.02082891,993.218,1
spsa,lightweight,34,2,0.53943285,0.73379630,0.75000000,0.005,0.48557735,1.04006637,1002.766,0
spsa,lightweight,34,3,0.53935265,0.72800926,0.74218750,0.005,0.49085425,1.07051628,1011.528,0
candidate,lightweight,35,0,0.58024978,0.72337963,0.74609375,0.02,0.44813446,1.41571275,1017.572,0
spsa,lightweight,35,1,0.58044538,0.72453704,0.74609375,0.02,0.44821527,1.39223346,1026.163,0
spsa,lightweight,35,2,0.57829210,0.72569444,0.74609375,0.02,0.45448250,1.41238391,1035.014,0
spsa,lightweight,35,3,0.55638257,0.73611111,0.74609375,0.01,0.46051491,1.42537813,1042.775,0
candidate,lightweight,36,0,0.55719665,0.73032407,0.71484375,0.01,0.54256083,1.15219562,1049.014,0
spsa,lightweight,36,1,0.57001297,0.72222222,0.70703125,0.02,0.54143784,1.17306118,1056.645,0
spsa,lightweight,36,2,0.55505790,0.72569444,0.70703125,0.01,0.54206118,1.18021876,1063.932,0
spsa,lightweight,36,3,0.56756078,0.73032407,0.70703125,0.02,0.54732822,1.20537658,1071.235,0
candidate,lightweight,37,0,0.56508407,0.73032407,0.70703125,0.01,0.38712813,0.89363285,1076.869,0
spsa,lightweight,37,1,0.56242165,0.73032407,0.71093750,0.01,0.39110804,0.90991780,1086.303,0
spsa,lightweight,37,2,0.55298806,0.73263889,0.72265625,0.005,0.38928090,0.87905728,1095.557,0
spsa,lightweight,37,3,0.54495016,0.73495370,0.71484375,0.005,0.39393115,0.85160769,1104.396,0
candidate,lightweight,38,0,0.54059132,0.74074074,0.72265625,0.005,0.57001557,1.40704817,1110.313,0
spsa,lightweight,38,1,0.54039147,0.74074074,0.71484375,0.005,0.56834959,1.39154574,1119.473,0
spsa,lightweight,38,2,0.54049804,0.74305556,0.71093750,0.005,0.56912532,1.39122984,1127.865,0
spsa,lightweight,38,3,0.53932136,0.74421296,0.71875000,0.005,0.57321369,1.39741540,1136.235,0
candidate,lightweight,39,0,0.57783705,0.74421296,0.73828125,0.02,0.52276106,1.03582729,1141.966,0
spsa,lightweight,39,1,0.57352788,0.73726852,0.72656250,0.02,0.54821393,0.98366658,1149.667,0
spsa,lightweight,39,2,0.55354155,0.73842593,0.72656250,0.01,0.54609264,0.97900946,1157.733,0
spsa,lightweight,39,3,0.53394714,0.75578704,0.74218750,0.005,0.55532935,0.99224355,1166.961,0
candidate,lightweight,40,0,0.54865799,0.74421296,0.75000000,0.005,0.53184611,1.11571756,1172.584,0
